Antecedent,Consequent,Support,Confidence,Lift,Count
douceur mode & vêtements,tu mode & vêtements,0.001981023876550933,0.22619047619047616,22.835714285714285,19
tu mode & vêtements,douceur mode & vêtements,0.001981023876550933,0.2,22.835714285714285,19
alors maison & jardin,goutte maison & jardin,0.0016682306328849963,0.20512820512820512,21.859829059829057,16
goutte maison & jardin,alors maison & jardin,0.0016682306328849963,0.17777777777777776,21.859829059829057,16
fort accessoires,bataille accessoires,0.0014597018037743718,0.16666666666666666,21.313333333333333,14
bataille accessoires,fort accessoires,0.0014597018037743718,0.18666666666666665,21.31333333333333,14
intérieur électronique,flot électronique,0.0013554373892190595,0.17105263157894737,21.306049213943954,13
flot électronique,intérieur électronique,0.0013554373892190595,0.16883116883116883,21.30604921394395,13
avec livres & médias,adresser livres & médias,0.001981023876550933,0.25,20.85,19
adresser livres & médias,avec livres & médias,0.001981023876550933,0.16521739130434782,20.849999999999998,19
signifier mode & vêtements,pas mode & vêtements,0.0016682306328849963,0.17204301075268816,20.625806451612902,16
pas mode & vêtements,signifier mode & vêtements,0.0016682306328849963,0.2,20.625806451612902,16
prier sacs & bagages,étranger sacs & bagages,0.0015639662183296842,0.1724137931034483,20.41507024265645,15
étranger sacs & bagages,prier sacs & bagages,0.0015639662183296842,0.18518518518518517,20.415070242656448,15
grain livres & médias,recueillir livres & médias,0.0013554373892190595,0.1477272727272727,19.955665813060175,13
recueillir livres & médias,grain livres & médias,0.0013554373892190595,0.18309859154929575,19.955665813060175,13
défaut art & crafts,livre art & crafts,0.0016682306328849963,0.17777777777777776,19.826356589147284,16
livre art & crafts,défaut art & crafts,0.0016682306328849963,0.18604651162790697,19.826356589147284,16
ignorer mode & vêtements,signifier mode & vêtements,0.001876759461995621,0.19148936170212766,19.748112560054906,18
signifier mode & vêtements,ignorer mode & vêtements,0.001876759461995621,0.1935483870967742,19.748112560054906,18
oiseau alimentation,révolution alimentation,0.0013554373892190595,0.1625,19.72832278481013,13
