Antecedent,Consequent,Confidence,Lift,Count
montrer mode & vêtements,quand mode & vêtements,0.22619047619047616,22.835714285714285,19
quand mode & vêtements,montrer mode & vêtements,0.2,22.835714285714285,19
lèvre maison & jardin,jeu maison & jardin,0.20512820512820512,21.859829059829057,16
jeu maison & jardin,lèvre maison & jardin,0.17777777777777776,21.859829059829057,16
si accessoires,saison accessoires,0.16666666666666666,21.313333333333333,14
saison accessoires,si accessoires,0.18666666666666665,21.31333333333333,14
bouche électronique,chien électronique,0.17105263157894737,21.306049213943954,13
chien électronique,bouche électronique,0.16883116883116883,21.30604921394395,13
vers livres & médias,guerre livres & médias,0.25,20.85,19
guerre livres & médias,vers livres & médias,0.16521739130434782,20.849999999999998,19
créer mode & vêtements,larme mode & vêtements,0.17204301075268816,20.625806451612902,16
larme mode & vêtements,créer mode & vêtements,0.2,20.625806451612902,16
vérité sacs & bagages,saison sacs & bagages,0.1724137931034483,20.41507024265645,15
saison sacs & bagages,vérité sacs & bagages,0.18518518518518517,20.415070242656448,15
accord livres & médias,étaler livres & médias,0.18309859154929575,19.955665813060175,13
étaler livres & médias,accord livres & médias,0.1477272727272727,19.955665813060175,13
payer art & crafts,appuyer art & crafts,0.18604651162790697,19.826356589147284,16
appuyer art & crafts,payer art & crafts,0.17777777777777776,19.826356589147284,16
ainsi mode & vêtements,créer mode & vêtements,0.19148936170212766,19.748112560054906,18
créer mode & vêtements,ainsi mode & vêtements,0.1935483870967742,19.748112560054906,18
mêler alimentation,dans alimentation,0.16455696202531644,19.72832278481013,13
dans alimentation,mêler alimentation,0.1625,19.72832278481013,13
suivant art & crafts,remonter art & crafts,0.15217391304347827,19.722972972972975,14
remonter art & crafts,suivant art & crafts,0.1891891891891892,19.722972972972975,14
immense pet care,souvenir pet care,0.23750000000000002,19.468910256410258,19
souvenir pet care,immense pet care,0.16239316239316237,19.468910256410254,19
alors alimentation,enfant alimentation,0.1630434782608696,19.305555555555557,15
enfant alimentation,alors alimentation,0.18518518518518517,19.305555555555557,15
accord accessoires,saison accessoires,0.15053763440860216,19.250752688172042,14
saison accessoires,accord accessoires,0.18666666666666665,19.25075268817204,14
approcher alimentation,enfant alimentation,0.16216216216216217,19.2012012012012,12
enfant alimentation,approcher alimentation,0.14814814814814814,19.2012012012012,12
davantage sacs & bagages,vin sacs & bagages,0.1717171717171717,19.150458069062722,17
vin sacs & bagages,davantage sacs & bagages,0.19767441860465118,19.150458069062722,17
lutter sports & loisirs,secrétaire sports & loisirs,0.1792452830188679,19.10157232704402,19
secrétaire sports & loisirs,lutter sports & loisirs,0.21111111111111108,19.10157232704402,19
début alimentation,alors alimentation,0.18309859154929575,19.088028169014084,13
alors alimentation,début alimentation,0.14130434782608695,19.088028169014084,13
comme sports & loisirs,solitude sports & loisirs,0.18947368421052635,18.929605263157896,18
solitude sports & loisirs,comme sports & loisirs,0.1875,18.929605263157896,18
désir maison & jardin,fier maison & jardin,0.2,18.805882352941175,19
prochain sacs & bagages,vide sacs & bagages,0.16470588235294117,18.805882352941175,14
vide sacs & bagages,prochain sacs & bagages,0.16666666666666666,18.805882352941175,14
fier maison & jardin,désir maison & jardin,0.18627450980392155,18.805882352941175,19
pauvre auto & moto,hauteur auto & moto,0.19767441860465118,18.771241077596134,17
hauteur auto & moto,pauvre auto & moto,0.16831683168316833,18.771241077596134,17
nombre bijoux,femme bijoux,0.16216216216216217,18.738521654184307,12
femme bijoux,nombre bijoux,0.14457831325301207,18.738521654184307,12
direction maison & jardin,lèvre maison & jardin,0.15217391304347827,18.711538461538463,14
lèvre maison & jardin,direction maison & jardin,0.1794871794871795,18.711538461538463,14
