CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
CUST000000,187,2,209.77,2,1,1,211,Dormant
CUST000001,159,2,213.62,2,1,1,211,Dormant
CUST000002,154,3,276.59,2,1,1,211,Dormant
CUST000003,97,5,560.46,3,2,3,323,Potential Loyalists
CUST000004,24,4,291.41999999999996,4,2,1,421,Need Attention
CUST000005,43,5,527.53,4,2,3,423,Potential Loyalists
CUST000006,56,7,637.45,3,4,3,343,Champions
CUST000007,28,4,360.82,4,2,2,422,Potential Loyalists
CUST000008,54,5,536.84,3,2,3,323,Potential Loyalists
CUST000009,324,4,517.96,1,2,3,123,At Risk
CUST000010,99,10,1332.9,3,4,4,344,Champions
CUST000011,290,4,489.94,1,2,2,122,At Risk
CUST000012,252,3,357.32,1,1,2,112,Lost
CUST000013,48,4,385.02,3,2,2,322,Potential Loyalists
CUST000014,13,8,891.51,4,4,4,444,Champions
CUST000015,95,6,580.95,3,3,3,333,Champions
CUST000016,262,2,155.81,1,1,1,111,Lost
CUST000017,151,6,756.88,2,3,4,234,Loyal Customers
CUST000019,136,5,610.93,2,2,3,223,Need Attention
CUST000020,299,3,213.32999999999998,1,1,1,111,Lost
CUST000021,221,5,443.59999999999997,1,2,2,122,At Risk
CUST000022,209,2,254.69,2,1,1,211,Dormant
CUST000023,54,3,366.0,3,1,2,312,Dormant
CUST000024,508,7,731.49,1,4,4,144,Loyal Customers
CUST000025,82,5,408.86,3,2,2,322,Potential Loyalists
CUST000026,92,8,945.12,3,4,4,344,Champions
CUST000027,140,4,239.01999999999998,2,2,1,221,Need Attention
CUST000028,89,5,396.99,3,2,2,322,Potential Loyalists
CUST000029,98,4,343.95,3,2,2,322,Potential Loyalists
CUST000030,33,4,460.74,4,2,2,422,Potential Loyalists
CUST000031,120,5,371.02,2,2,2,222,Need Attention
CUST000032,98,4,328.09000000000003,3,2,1,321,Need Attention
CUST000033,5,3,230.1,4,1,1,411,Dormant
CUST000034,92,4,395.53000000000003,3,2,2,322,Potential Loyalists
CUST000035,256,1,109.98,1,1,1,111,Lost
CUST000036,155,7,630.34,2,4,3,243,Loyal Customers
CUST000037,176,5,544.29,2,2,3,223,Need Attention
CUST000038,87,6,575.0,3,3,3,333,Champions
CUST000039,374,6,701.22,1,3,4,134,Loyal Customers
CUST000040,124,7,633.78,2,4,3,243,Loyal Customers
CUST000041,171,5,610.74,2,2,3,223,Need Attention
CUST000042,50,3,330.19,3,1,1,311,Dormant
CUST000043,67,4,320.71000000000004,3,2,1,321,Need Attention
CUST000044,73,5,556.11,3,2,3,323,Potential Loyalists
CUST000045,134,3,208.45,2,1,1,211,Dormant
CUST000046,635,1,85.83000000000001,1,1,1,111,Lost
CUST000047,93,5,457.32,3,2,2,322,Potential Loyalists
CUST000048,44,5,689.88,4,2,4,424,Potential Loyalists
CUST000049,316,7,662.59,1,4,4,144,Loyal Customers
CUST000050,108,2,227.95999999999998,3,1,1,311,Dormant
CUST000051,203,6,701.5,2,3,4,234,Loyal Customers
CUST000052,101,11,1121.1599999999999,3,4,4,344,Champions
CUST000053,78,6,658.98,3,3,3,333,Champions
CUST000054,259,8,840.4499999999999,1,4,4,144,Loyal Customers
CUST000055,341,4,421.59000000000003,1,2,2,122,At Risk
CUST000056,1,6,532.46,4,3,3,433,Champions
CUST000057,208,7,693.76,2,4,4,244,Loyal Customers
CUST000058,10,8,745.51,4,4,4,444,Champions
CUST000059,84,5,429.88,3,2,2,322,Potential Loyalists
CUST000060,167,8,902.9399999999999,2,4,4,244,Loyal Customers
CUST000061,113,5,686.71,2,2,4,224,Need Attention
CUST000062,68,6,674.3599999999999,3,3,4,334,Champions
CUST000063,292,4,268.75,1,2,1,121,Lost
CUST000064,138,5,740.54,2,2,4,224,Need Attention
CUST000065,115,4,363.68,2,2,2,222,Need Attention
CUST000066,35,8,910.56,4,4,4,444,Champions
CUST000067,63,4,434.04,3,2,2,322,Potential Loyalists
CUST000068,228,3,344.18,1,1,2,112,Lost
CUST000069,213,2,170.64,2,1,1,211,Dormant
CUST000070,18,5,509.37,4,2,3,423,Potential Loyalists
CUST000071,454,1,112.56,1,1,1,111,Lost
CUST000072,371,3,352.46999999999997,1,1,2,112,Lost
CUST000073,51,4,507.07,3,2,3,323,Potential Loyalists
CUST000074,301,3,408.35,1,1,2,112,Lost
CUST000075,109,4,232.46,3,2,1,321,Need Attention
CUST000076,42,4,336.89,4,2,1,421,Need Attention
CUST000077,173,3,286.18,2,1,1,211,Dormant
CUST000078,69,6,644.51,3,3,3,333,Champions
CUST000079,5,5,491.90999999999997,4,2,3,423,Potential Loyalists
CUST000080,184,9,1032.15,2,4,4,244,Loyal Customers
CUST000081,117,8,920.65,2,4,4,244,Loyal Customers
CUST000082,160,2,218.1,2,1,1,211,Dormant
CUST000083,32,3,176.62,4,1,1,411,Dormant
CUST000084,208,4,375.03999999999996,2,2,2,222,Need Attention
CUST000085,308,4,446.34000000000003,1,2,2,122,At Risk
CUST000086,1,4,304.36,4,2,1,421,Need Attention
CUST000087,119,7,584.12,2,4,3,243,Loyal Customers
CUST000088,3,5,412.07,4,2,2,422,Potential Loyalists
CUST000089,675,1,80.06,1,1,1,111,Lost
CUST000090,27,5,478.61,4,2,2,422,Potential Loyalists
CUST000091,188,6,769.17,2,3,4,234,Loyal Customers
CUST000092,17,9,863.5699999999999,4,4,4,444,Champions
CUST000093,23,6,737.32,4,3,4,434,Champions
CUST000094,26,3,236.81,4,1,1,411,Dormant
CUST000095,154,3,297.55,2,1,1,211,Dormant
CUST000096,190,7,740.48,2,4,4,244,Loyal Customers
CUST000097,93,3,285.3,3,1,1,311,Dormant
CUST000098,131,5,556.65,2,2,3,223,Need Attention
CUST000099,267,6,601.39,1,3,3,133,Loyal Customers
CUST000100,49,6,472.8,3,3,2,332,Potential Loyalists
CUST000101,17,8,879.56,4,4,4,444,Champions
CUST000102,303,3,376.25,1,1,2,112,Lost
CUST000103,36,8,1044.6100000000001,4,4,4,444,Champions
CUST000104,170,5,510.13,2,2,3,223,Need Attention
CUST000105,26,10,1202.24,4,4,4,444,Champions
CUST000106,193,6,672.35,2,3,4,234,Loyal Customers
CUST000107,32,9,959.49,4,4,4,444,Champions
CUST000108,29,10,1244.53,4,4,4,444,Champions
CUST000109,48,3,295.41,3,1,1,311,Dormant
CUST000110,70,4,332.40999999999997,3,2,1,321,Need Attention
CUST000111,256,2,252.78,1,1,1,111,Lost
CUST000112,136,3,296.58000000000004,2,1,1,211,Dormant
CUST000113,64,7,627.53,3,4,3,343,Champions
CUST000114,253,1,61.28,1,1,1,111,Lost
CUST000115,71,2,192.81,3,1,1,311,Dormant
CUST000116,16,7,632.89,4,4,3,443,Champions
CUST000117,194,6,561.88,2,3,3,233,Loyal Customers
CUST000118,106,8,694.1,3,4,4,344,Champions
CUST000119,261,3,279.06,1,1,1,111,Lost
CUST000120,278,4,389.48,1,2,2,122,At Risk
CUST000121,29,4,344.71,4,2,2,422,Potential Loyalists
CUST000122,54,5,551.1,3,2,3,323,Potential Loyalists
CUST000123,110,4,695.93,2,2,4,224,Need Attention
CUST000124,121,3,251.41,2,1,1,211,Dormant
CUST000125,84,3,283.72999999999996,3,1,1,311,Dormant
CUST000126,14,6,845.1,4,3,4,434,Champions
CUST000127,106,4,318.43,3,2,1,321,Need Attention
CUST000128,8,9,1228.66,4,4,4,444,Champions
CUST000129,83,3,340.23,3,1,2,312,Dormant
CUST000130,191,5,421.97,2,2,2,222,Need Attention
CUST000131,12,6,652.83,4,3,3,433,Champions
CUST000132,9,4,400.78,4,2,2,422,Potential Loyalists
CUST000133,426,5,553.22,1,2,3,123,At Risk
CUST000134,159,2,165.98,2,1,1,211,Dormant
CUST000135,277,5,537.38,1,2,3,123,At Risk
CUST000136,21,5,638.95,4,2,3,423,Potential Loyalists
CUST000137,114,7,600.0799999999999,2,4,3,243,Loyal Customers
CUST000138,30,7,676.4499999999999,4,4,4,444,Champions
CUST000139,79,5,458.19,3,2,2,322,Potential Loyalists
CUST000140,6,7,527.87,4,4,3,443,Champions
CUST000142,6,8,911.36,4,4,4,444,Champions
CUST000143,75,6,493.2,3,3,3,333,Champions
CUST000144,278,3,343.90999999999997,1,1,2,112,Lost
CUST000145,18,7,608.26,4,4,3,443,Champions
CUST000146,37,4,457.76,4,2,2,422,Potential Loyalists
CUST000147,169,7,497.93,2,4,3,243,Loyal Customers
CUST000148,274,6,613.12,1,3,3,133,Loyal Customers
CUST000149,156,7,619.74,2,4,3,243,Loyal Customers
CUST000150,143,2,210.95,2,1,1,211,Dormant
CUST000151,180,4,521.89,2,2,3,223,Need Attention
CUST000152,36,5,532.3199999999999,4,2,3,423,Potential Loyalists
CUST000153,222,5,586.21,1,2,3,123,At Risk
CUST000154,6,8,736.5,4,4,4,444,Champions
CUST000155,210,3,386.3,2,1,2,212,Dormant
CUST000156,123,4,398.19,2,2,2,222,Need Attention
CUST000157,96,9,961.44,3,4,4,344,Champions
CUST000158,16,5,439.95,4,2,2,422,Potential Loyalists
CUST000159,265,6,599.4,1,3,3,133,Loyal Customers
CUST000160,105,3,292.07,3,1,1,311,Dormant
CUST000161,33,8,999.85,4,4,4,444,Champions
CUST000162,212,6,461.7,2,3,2,232,Need Attention
CUST000163,31,7,663.14,4,4,4,444,Champions
CUST000164,9,8,769.17,4,4,4,444,Champions
CUST000165,34,7,745.19,4,4,4,444,Champions
CUST000166,6,6,584.63,4,3,3,433,Champions
CUST000167,309,7,705.24,1,4,4,144,Loyal Customers
CUST000168,265,2,248.55,1,1,1,111,Lost
CUST000169,24,8,773.58,4,4,4,444,Champions
CUST000170,92,6,537.12,3,3,3,333,Champions
CUST000171,20,10,1011.07,4,4,4,444,Champions
CUST000172,6,1,109.53,4,1,1,411,Dormant
CUST000173,44,8,962.6800000000001,4,4,4,444,Champions
CUST000174,150,4,305.53999999999996,2,2,1,221,Need Attention
CUST000175,154,6,676.64,2,3,4,234,Loyal Customers
CUST000176,298,4,353.15,1,2,2,122,At Risk
CUST000177,227,2,193.54999999999998,1,1,1,111,Lost
CUST000178,102,4,251.10000000000002,3,2,1,321,Need Attention
CUST000179,115,6,713.61,2,3,4,234,Loyal Customers
CUST000180,44,7,858.52,4,4,4,444,Champions
CUST000181,301,7,633.91,1,4,3,143,Loyal Customers
CUST000182,52,2,216.14,3,1,1,311,Dormant
CUST000183,27,6,592.15,4,3,3,433,Champions
CUST000184,133,5,519.64,2,2,3,223,Need Attention
CUST000185,4,4,404.0,4,2,2,422,Potential Loyalists
CUST000186,58,5,527.28,3,2,3,323,Potential Loyalists
CUST000187,383,4,334.57,1,2,1,121,Lost
CUST000188,23,4,340.96999999999997,4,2,2,422,Potential Loyalists
CUST000189,21,7,609.2,4,4,3,443,Champions
CUST000190,136,7,692.56,2,4,4,244,Loyal Customers
CUST000191,190,10,1310.26,2,4,4,244,Loyal Customers
CUST000192,26,8,780.38,4,4,4,444,Champions
CUST000193,275,4,454.87,1,2,2,122,At Risk
CUST000194,16,5,517.79,4,2,3,423,Potential Loyalists
CUST000195,1,4,410.0,4,2,2,422,Potential Loyalists
CUST000196,41,4,481.97,4,2,2,422,Potential Loyalists
CUST000197,423,4,381.97,1,2,2,122,At Risk
CUST000198,74,4,506.45,3,2,3,323,Potential Loyalists
CUST000199,182,6,692.3,2,3,4,234,Loyal Customers
CUST000200,87,6,865.5899999999999,3,3,4,334,Champions
CUST000201,196,2,171.28,2,1,1,211,Dormant
CUST000202,261,6,623.73,1,3,3,133,Loyal Customers
CUST000203,25,4,302.93,4,2,1,421,Need Attention
CUST000204,64,10,1228.99,3,4,4,344,Champions
CUST000205,525,2,254.73000000000002,1,1,1,111,Lost
CUST000206,253,2,190.3,1,1,1,111,Lost
CUST000207,409,2,127.85,1,1,1,111,Lost
CUST000208,317,3,291.7,1,1,1,111,Lost
CUST000209,63,4,619.11,3,2,3,323,Potential Loyalists
CUST000210,163,3,232.94,2,1,1,211,Dormant
CUST000211,142,2,219.55,2,1,1,211,Dormant
CUST000212,139,4,476.4,2,2,2,222,Need Attention
CUST000213,150,6,633.28,2,3,3,233,Loyal Customers
CUST000214,200,1,227.4,2,1,1,211,Dormant
CUST000215,91,6,455.63,3,3,2,332,Potential Loyalists
CUST000216,73,5,371.78000000000003,3,2,2,322,Potential Loyalists
CUST000217,14,6,552.99,4,3,3,433,Champions
CUST000218,378,3,381.45,1,1,2,112,Lost
CUST000219,122,6,744.19,2,3,4,234,Loyal Customers
CUST000220,55,7,614.3100000000001,3,4,3,343,Champions
CUST000221,146,3,316.32,2,1,1,211,Dormant
CUST000222,12,5,588.63,4,2,3,423,Potential Loyalists
CUST000223,350,3,372.3,1,1,2,112,Lost
CUST000224,89,5,551.62,3,2,3,323,Potential Loyalists
CUST000225,194,4,503.99,2,2,3,223,Need Attention
CUST000226,4,7,754.8,4,4,4,444,Champions
CUST000227,14,10,924.24,4,4,4,444,Champions
CUST000228,30,2,139.31,4,1,1,411,Dormant
CUST000229,298,3,230.97,1,1,1,111,Lost
CUST000230,616,1,141.06,1,1,1,111,Lost
CUST000231,182,2,141.36,2,1,1,211,Dormant
CUST000232,171,5,454.94,2,2,2,222,Need Attention
CUST000233,520,2,195.51,1,1,1,111,Lost
CUST000234,117,6,725.21,2,3,4,234,Loyal Customers
CUST000235,67,7,608.19,3,4,3,343,Champions
CUST000236,144,5,448.57,2,2,2,222,Need Attention
CUST000237,274,6,588.15,1,3,3,133,Loyal Customers
CUST000238,409,2,156.56,1,1,1,111,Lost
CUST000239,715,3,247.55,1,1,1,111,Lost
CUST000240,123,4,338.45,2,2,2,222,Need Attention
